S_Point,pit_number,pit_code,mapping_confidence,coordinate_conflict_m,authority_selected_source,authority_evidence_reference,authority_row_status,authority_validation_note,coordinate_source,lon,lat,top_salinity_pct,top_pH,top_humus_pct,sand_pct_2020,silt_pct_2020,clay_pct_2020,field_salinity_0_20,field_ec_0_20,landcover_type,vegetation_name,vegetation_density_pct_text,B3,B4,B8,B11,B12,SCL,Slope,class_raw,class_filtered,ndwi_nir,ndvi,ndmi,ndsi_green_swir2,br_nir_swir2,bi,class_recomputed,class_raw_name,class_filtered_name,class_recomputed_name
S124,1,01/20А,confirmed_from_project_notes,131715.2,,,audit_source_not_authoritative,Raw/shifted candidate retained for coordinate audit.,raw_aralfield_dd,60.893604,45.588539,0.06,7.68,0.45,86.69,8.16,5.12,0.09,3.14,Shrubland,"Haloxylon,  herbs",60-90,2030.0,2369.0,2899.0,3540.0,3592.0,5.0,0.2996094822883606,10.0,10.0,-0.17630352079868317,0.10060743987560272,-0.09954960644245148,-0.2778370678424835,0.8070712685585022,0.3119785487651825,10,Existing vegetation,Existing vegetation,Existing vegetation
S124,1,01/20А,confirmed_from_project_notes,131715.2,,,audit_source_not_authoritative,Raw/shifted candidate retained for coordinate audit.,shifted_odt_derived_dd,59.775683,44.7045,0.06,7.68,0.45,86.69,8.16,5.12,0.09,3.14,Shrubland,"Haloxylon,  herbs",60-90,1650.0,1788.0,1910.0,1972.0,1446.0,6.0,0.0,0.0,0.0,-0.07303369045257568,0.032990798354148865,-0.015971150249242783,0.06589148193597794,1.320885181427002,0.24329908192157745,0,Water / NoData / Shadow,Water / NoData / Shadow,Water / NoData / Shadow
S125,2,02/20А,confirmed_from_project_notes,132864.4,,,audit_source_not_authoritative,Raw/shifted candidate retained for coordinate audit.,raw_aralfield_dd,60.912059,45.608637,0.07,6.83,0.82,67.58,25.7,6.68,1.9,101.3,Bare area,,0-30,2543.0,2935.0,3234.0,3918.0,4023.0,5.0,0.4710010290145874,1.0,1.0,-0.11961223930120468,0.048468124121427536,-0.09563758224248886,-0.2254035919904709,0.8038776516914368,0.38834360241889954,1,Candidate suitable,Candidate suitable,Candidate suitable
S125,2,02/20А,confirmed_from_project_notes,132864.4,,,audit_source_not_authoritative,Raw/shifted candidate retained for coordinate audit.,shifted_odt_derived_dd,59.793467,44.71105,0.07,6.83,0.82,67.58,25.7,6.68,1.9,101.3,Bare area,,0-30,1534.0,1636.0,1782.0,1816.0,1304.0,6.0,0.0,0.0,0.0,-0.0747889056801796,0.04271506145596504,-0.009449688717722893,0.08104299008846283,1.366564393043518,0.2242688685655594,0,Water / NoData / Shadow,Water / NoData / Shadow,Water / NoData / Shadow
S126,3,03/20А,confirmed_from_project_notes,132504.7,,,audit_source_not_authoritative,Raw/shifted candidate retained for coordinate audit.,raw_aralfield_dd,60.928608,45.624813,0.05,7.96,0.91,47.12,39.95,12.91,0.97,46.2,Shrubland,"Small Haloxylon,   Sarsazan",30-60,1893.0,2156.0,2442.0,2967.0,2859.0,5.0,0.2740364074707031,1.0,1.0,-0.1266436129808426,0.06220097094774246,-0.09706044942140579,-0.20328281819820404,0.854144811630249,0.28691089153289795,1,Candidate suitable,Candidate suitable,Candidate suitable
S126,3,03/20А,confirmed_from_project_notes,132504.7,,,audit_source_not_authoritative,Raw/shifted candidate retained for coordinate audit.,shifted_odt_derived_dd,59.813067,44.729433,0.05,7.96,0.91,47.12,39.95,12.91,0.97,46.2,Shrubland,"Small Haloxylon,   Sarsazan",30-60,1622.0,1776.0,1936.0,2264.0,1829.0,6.0,0.0,0.0,0.0,-0.08825181424617767,0.04310345649719238,-0.07809524238109589,-0.05998259410262108,1.058501958847046,0.24052152037620544,0,Water / NoData / Shadow,Water / NoData / Shadow,Water / NoData / Shadow
S127,4,04/20А,confirmed_from_project_notes,132478.6,,,audit_source_not_authoritative,Raw/shifted candidate retained for coordinate audit.,raw_aralfield_dd,60.9836,45.648156,6.52,8.2,0.58,49.21,39.25,11.52,0.16,5.7,Shrubland,Shengel,30-60,2498.0,2944.0,3844.0,4452.0,4401.0,5.0,0.23609624803066254,10.0,10.0,-0.21223591268062592,0.13258692622184753,-0.07328831404447556,-0.27583709359169006,0.8734378218650818,0.38609766960144043,10,Existing vegetation,Existing vegetation,Existing vegetation
S127,4,04/20А,confirmed_from_project_notes,132478.6,,,audit_source_not_authoritative,Raw/shifted candidate retained for coordinate audit.,shifted_odt_derived_dd,59.863583,44.755567,6.52,8.2,0.58,49.21,39.25,11.52,0.16,5.7,Shrubland,Shengel,30-60,1650.0,1812.0,1940.0,1960.0,1419.0,6.0,0.0,0.0,0.0,-0.08077993243932724,0.03411515802145004,-0.005128177348524332,0.07526881992816925,1.3671599626541138,0.2450682371854782,0,Water / NoData / Shadow,Water / NoData / Shadow,Water / NoData / Shadow
S128,5,05/20А,confirmed_from_project_notes,132522.0,,,audit_source_not_authoritative,Raw/shifted candidate retained for coordinate audit.,raw_aralfield_dd,60.987777,45.656316,31.29,8.5,1.31,40.94,48.66,10.38,0.14,4.18,Shrubland,"Tamarix, Yantak",60-90,1638.0,1938.0,2828.0,3107.0,2778.0,5.0,0.2448631078004837,10.0,10.0,-0.2664576470851898,0.18673938512802124,-0.04700928181409836,-0.25815215706825256,1.0179985761642456,0.25374963879585266,10,Existing vegetation,Existing vegetation,Existing vegetation
S128,5,05/20А,confirmed_from_project_notes,132522.0,,,audit_source_not_authoritative,Raw/shifted candidate retained for coordinate audit.,shifted_odt_derived_dd,59.8688,44.762467,31.29,8.5,1.31,40.94,48.66,10.38,0.14,4.18,Shrubland,"Tamarix, Yantak",60-90,1470.0,1634.0,1764.0,1700.0,1152.0,6.0,0.0,0.0,0.0,-0.09090910106897354,0.03825783357024193,0.018475761637091637,0.12128147482872009,1.5312501192092896,0.21979208290576935,0,Water / NoData / Shadow,Water / NoData / Shadow,Water / NoData / Shadow
S129,6,06/20А,tentative_from_project_notes,132912.3,,,audit_source_not_authoritative,Raw/shifted candidate retained for coordinate audit.,raw_aralfield_dd,61.018802,45.657462,1.17,8.63,0.21,77.94,14.92,7.11,0.18,5.64,Shrubland,Haloxylon,60-90,3100.0,3548.0,3864.0,4162.0,4012.0,5.0,0.44191378355026245,1.0,1.0,-0.1097070723772049,0.04263360798358917,-0.037129323929548264,-0.12823396921157837,0.9631106853485107,0.4711507558822632,1,Candidate suitable,Candidate suitable,Candidate suitable
S129,6,06/20А,tentative_from_project_notes,132912.3,,,audit_source_not_authoritative,Raw/shifted candidate retained for coordinate audit.,shifted_odt_derived_dd,59.89225,44.763633,1.17,8.63,0.21,77.94,14.92,7.11,0.18,5.64,Shrubland,Haloxylon,60-90,2026.0,2200.0,2386.0,2208.0,1606.0,6.0,0.0,0.0,0.0,-0.08159564435482025,0.04055822640657425,0.038746196776628494,0.11563875526189804,1.4856786727905273,0.29907652735710144,0,Water / NoData / Shadow,Water / NoData / Shadow,Water / NoData / Shadow
S130,7,07/20А,tentative_from_project_notes,134796.2,,,audit_source_not_authoritative,Raw/shifted candidate retained for coordinate audit.,raw_aralfield_dd,61.213133,45.725247,1.29,7.59,0.44,71.01,19.73,9.22,0.87,38.1,Grassland,"Sarsazan (saline shrub vegetation), herbs",0-30,2422.0,2884.0,3300.0,3780.0,3574.0,5.0,0.30857372283935547,1.0,1.0,-0.1534428745508194,0.06727040559053421,-0.06779658049345016,-0.19212807714939117,0.9233352541923523,0.3766103982925415,1,Candidate suitable,Candidate suitable,Candidate suitable
S130,7,07/20А,tentative_from_project_notes,134796.2,,,audit_source_not_authoritative,Raw/shifted candidate retained for coordinate audit.,shifted_odt_derived_dd,60.065867,44.820933,1.29,7.59,0.44,71.01,19.73,9.22,0.87,38.1,Grassland,"Sarsazan (saline shrub vegetation), herbs",0-30,1480.0,1656.0,1814.0,1952.0,1368.0,6.0,0.0,0.0,0.0,-0.10139647126197815,0.04553313925862312,-0.03664364293217659,0.03932582959532738,1.3260233402252197,0.22209763526916504,0,Water / NoData / Shadow,Water / NoData / Shadow,Water / NoData / Shadow
S131,8,08/20А,confirmed_from_project_notes,132713.8,,,audit_source_not_authoritative,Raw/shifted candidate retained for coordinate audit.,raw_aralfield_dd,61.221228,45.754821,2.42,8.0,1.33,50.03,40.03,9.91,0.02,0.7,Grassland,"Artemisia, other herbs",60-90,2176.0,2574.0,3268.0,4090.0,3961.0,5.0,0.516262948513031,10.0,10.0,-0.20058777928352356,0.11879489570856094,-0.1117151603102684,-0.2908587157726288,0.8250440955162048,0.33705270290374756,10,Existing vegetation,Existing vegetation,Existing vegetation
S131,8,08/20А,confirmed_from_project_notes,132713.8,,,audit_source_not_authoritative,Raw/shifted candidate retained for coordinate audit.,shifted_odt_derived_dd,60.097676,44.860309,2.42,8.0,1.33,50.03,40.03,9.91,0.02,0.7,Grassland,"Artemisia, other herbs",60-90,2046.0,2274.0,2396.0,2466.0,1699.0,6.0,0.0,0.0,0.0,-0.07879332453012466,0.026124192401766777,-0.014397365972399712,0.09265688806772232,1.4102413654327393,0.30589526891708374,0,Water / NoData / Shadow,Water / NoData / Shadow,Water / NoData / Shadow
S132,9,09/20А,confirmed_from_project_notes,132651.6,,,audit_source_not_authoritative,Raw/shifted candidate retained for coordinate audit.,raw_aralfield_dd,61.257944,45.815325,16.42,8.17,0.64,82.13,12.53,5.31,0.28,8.84,Cropland,Herbaceous vegetation,30-60,2132.0,2464.0,2862.0,3682.0,3539.0,5.0,0.4091446101665497,1.0,1.0,-0.14617538452148438,0.07472772896289825,-0.1253056526184082,-0.24810436367988586,0.8087030053138733,0.3258330821990967,1,Candidate suitable,Candidate suitable,Candidate suitable
S132,9,09/20А,confirmed_from_project_notes,132651.6,,,audit_source_not_authoritative,Raw/shifted candidate retained for coordinate audit.,shifted_odt_derived_dd,60.134392,44.920813,16.42,8.17,0.64,82.13,12.53,5.31,0.28,8.84,Cropland,Herbaceous vegetation,30-60,2976.0,3324.0,3532.0,3790.0,3112.0,6.0,0.0,0.0,0.0,-0.08543329685926437,0.030338382348418236,-0.03523629903793335,-0.02233901433646679,1.134961485862732,0.44615638256073,0,Water / NoData / Shadow,Water / NoData / Shadow,Water / NoData / Shadow
S133,10,10/20А,confirmed_from_project_notes,132618.7,,,audit_source_not_authoritative,Raw/shifted candidate retained for coordinate audit.,raw_aralfield_dd,61.267256,45.847397,7.78,7.3,0.84,32.24,59.49,8.24,0.1,3.25,Mosaic tree and shrub/herbaceous,"Tamarix, herbs",60-90,888.0,850.0,666.0,715.0,594.0,5.0,0.16508467495441437,0.0,0.0,0.14285710453987122,-0.12137202173471451,-0.035481542348861694,0.19838054478168488,1.121212124824524,0.12292452901601791,0,Water / NoData / Shadow,Water / NoData / Shadow,Water / NoData / Shadow
S133,10,10/20А,confirmed_from_project_notes,132618.7,,,audit_source_not_authoritative,Raw/shifted candidate retained for coordinate audit.,shifted_odt_derived_dd,60.143704,44.952885,7.78,7.3,0.84,32.24,59.49,8.24,0.1,3.25,Mosaic tree and shrub/herbaceous,"Tamarix, herbs",60-90,1968.0,2188.0,2386.0,2610.0,2069.0,6.0,0.19905073940753937,0.0,0.0,-0.0960036888718605,0.04328816756606102,-0.044835884124040604,-0.025018595159053802,1.1532140970230103,0.29428502917289734,0,Water / NoData / Shadow,Water / NoData / Shadow,Water / NoData / Shadow
S134,11,11/20А,confirmed_from_project_notes,132518.2,,,audit_source_not_authoritative,Raw/shifted candidate retained for coordinate audit.,raw_aralfield_dd,61.268779,45.945191,0.1,8.32,0.98,21.35,63.75,14.87,1.73,95.2,Bare area,Old and dried vegetation affected by high salinity,30-60,0.0,0.0,0.0,0.0,0.0,0.0,0.46784263849258423,0.0,0.0,,,,,,0.0,0,Water / NoData / Shadow,Water / NoData / Shadow,Water / NoData / Shadow
S134,11,11/20А,confirmed_from_project_notes,132518.2,,,audit_source_not_authoritative,Raw/shifted candidate retained for coordinate audit.,shifted_odt_derived_dd,60.145227,45.050679,0.1,8.32,0.98,21.35,63.75,14.87,1.73,95.2,Bare area,Old and dried vegetation affected by high salinity,30-60,2396.0,2636.0,2870.0,3130.0,2554.0,6.0,0.428781121969223,0.0,0.0,-0.09001138806343079,0.0424991101026535,-0.04333332180976868,-0.03191918879747391,1.1237274408340454,0.3562206029891968,0,Water / NoData / Shadow,Water / NoData / Shadow,Water / NoData / Shadow
